,Date,Value
0,"March 31, 2024",21.30B
1,"December 31, 2023",25.17B
2,"September 30, 2023",23.35B
3,"June 30, 2023",24.93B
4,"March 31, 2023",23.33B
5,"December 31, 2022",24.32B
6,"September 30, 2022",21.45B
7,"June 30, 2022",16.93B
8,"March 31, 2022",18.76B
9,"December 31, 2021",17.72B
10,"September 30, 2021",13.76B
11,"June 30, 2021",11.96B
12,"March 31, 2021",10.39B
13,"December 31, 2020",10.74B
14,"September 30, 2020",8.771B
15,"June 30, 2020",6.036B
16,"March 31, 2020",5.985B
17,"December 31, 2019",7.384B
18,"September 30, 2019",6.303B
19,"June 30, 2019",6.35B
20,"March 31, 2019",4.541B
21,"December 31, 2018",7.226B
22,"September 30, 2018",6.824B
23,"June 30, 2018",4.002B
24,"March 31, 2018",3.409B
